,C1,C2,C3,C4,C5,C6,C7,C8,Timestamp,effort
2314,172970.984375,-16633.98828125,201200.40625,188311.3125,180300.78125,157606.046875,173288.03125,205177.953125,1131984.03118814,1.0
2315,172969.890625,-16635.32421875,201200.9375,188310.078125,180293.296875,157606.140625,173284.59375,205174.421875,1132006.03318814,1.0
2316,172966.40625,-16609.955078125,201220.734375,188327.90625,180278.328125,157605.421875,173271.390625,205159.734375,1132018.03518814,1.0
2317,172963.265625,-16563.51171875,201255.484375,188362.8125,180257.859375,157604.8125,173250.984375,205142.46875,1132030.03718814,1.0
2318,172945.1875,-16518.642578125,201285.25,188394.0,180225.34375,157591.796875,173220.84375,205112.53125,1132049.03918814,1.0
2319,172923.484375,-16497.994140625,201295.203125,188404.25,180202.171875,157573.0,173193.765625,205084.296875,1132060.04118814,1.0
2320,172914.953125,-16505.1953125,201286.8125,188395.90625,180204.359375,157565.75,173191.0,205082.25,1132075.04318814,1.0
2321,172927.015625,-16535.236328125,201266.9375,188376.265625,180234.359375,157574.859375,173216.5,205108.71875,1132087.04518814,1.0
2322,172943.1875,-16586.162109375,201229.21875,188339.640625,180264.734375,157581.828125,173244.0625,205137.65625,1132102.04718814,1.0
2323,172968.9375,-16616.91796875,201211.1875,188318.75,180292.90625,157597.515625,173276.484375,205171.28125,1132114.04918814,1.0
2324,172983.671875,-16634.513671875,201201.5625,188307.734375,180304.828125,157607.234375,173293.1875,205187.484375,1132125.05118814,1.0
2325,172983.515625,-16636.611328125,201199.75,188304.734375,180300.78125,157609.671875,173287.703125,205181.4375,1132142.05318814,1.0
2326,172969.9375,-16610.099609375,201220.203125,188323.0,180273.609375,157603.5625,173263.953125,205155.921875,1132155.05518814,1.0
2327,172954.765625,-16563.607421875,201255.484375,188356.515625,180242.265625,157595.703125,173235.71875,205126.265625,1132180.05718814,1.0
2328,172931.171875,-16526.4140625,201277.515625,188378.40625,180209.984375,157574.140625,173202.203125,205091.6875,1132197.05918478,1.0
2329,172914.8125,-16499.806640625,201291.625,188394.234375,180195.5,157562.171875,173185.75,205075.71875,1132215.06118478,1.0
2330,172906.796875,-16506.912109375,201284.765625,188387.03125,180199.21875,157555.171875,173185.65625,205074.625,1132230.06318478,1.0
2331,172916.625,-16536.80859375,201261.3125,188366.25,180221.578125,157559.078125,173209.640625,205099.328125,1132244.06518478,1.0
2332,172928.96875,-16586.92578125,201223.59375,188329.1875,180246.140625,157563.65625,173235.0,205125.78125,1132271.06718478,1.0
2333,172953.765625,-16625.263671875,201199.265625,188302.828125,180278.46875,157577.4375,173262.953125,205154.53125,1132289.06918478,1.0
2334,172970.75,-16640.998046875,201191.828125,188294.71875,180293.296875,157592.59375,173277.78125,205168.078125,1132311.07118478,1.0
2335,172965.59375,-16650.34375,201183.296875,188284.140625,180273.03125,157585.40625,173264.90625,205152.71875,1132325.07318478,1.0
2336,172965.5,-16622.974609375,201205.703125,188303.78125,180262.015625,157588.171875,173252.75,205140.515625,1132340.07518478,1.0
